Dataset,Shortcut,decision_tree,gradient_boosting,knn_5,logistic_regression,mlp,random_forest,svm_rbf
adult_income,demographic_proxy,,0.516,,0.496,,0.591,
adult_income,label_proxy,,0.775,,0.716,,0.802,
adult_income,measurement_artifact,,0.991,,0.991,,0.991,
adult_income,selection_bias,,0.871,,0.849,,0.884,
adult_income,temporal_shortcut,,0.995,,1.004,,0.997,
bangla_dataset,demographic_proxy,0.518,0.485,0.808,0.603,0.580,0.514,0.578
bangla_dataset,label_proxy,0.683,0.656,0.812,0.634,0.677,0.709,0.698
bangla_dataset,measurement_artifact,0.990,0.986,0.962,0.982,0.970,0.980,0.992
bangla_dataset,selection_bias,0.754,0.781,0.903,0.732,0.800,0.795,0.812
bangla_dataset,temporal_shortcut,0.969,0.971,0.999,0.989,0.978,0.993,0.985
credit_default,demographic_proxy,,0.526,,0.551,,0.565,
credit_default,label_proxy,,0.691,,0.652,,0.705,
credit_default,measurement_artifact,,0.996,,0.986,,0.994,
credit_default,selection_bias,,0.824,,0.793,,0.834,
credit_default,temporal_shortcut,,0.996,,1.001,,0.996,
madelon,demographic_proxy,,0.508,,0.502,,0.574,
madelon,label_proxy,,0.613,,0.620,,0.659,
madelon,measurement_artifact,,0.985,,0.954,,0.981,
madelon,selection_bias,,0.692,,0.712,,0.706,
madelon,temporal_shortcut,,1.001,,1.001,,1.004,
